key,ar,de,en,es,fr,it,ja,nl,pl,pt
pilot_name_required_message,ميزات تيليجرام تتطلب اسم طيار. يرجى تعيين اسم الطيار الخاص بك.,Für Telegram-Funktionen ist ein Pilotenname erforderlich. Bitte geben Sie Ihren Pilotennamen ein.,Telegram features require a pilot name. Please set your pilot name.,"Las funciones de Telegram requieren un nombre de piloto. Por favor, establece tu nombre de piloto.",Les fonctionnalités Telegram nécessitent un nom de pilote. Veuillez définir votre nom de pilote.,Le funzionalità di Telegram richiedono un nome pilota. Per favore imposta il tuo nome pilota.,Telegramの機能を使用するにはパイロット名が必要です。パイロット名を設定してください。,Telegram-functies vereisen een pilootnaam. Stel uw pilootnaam in.,Funkcje Telegram wymagają nazwy pilota. Proszę ustawić swoją nazwę pilota.,"Recursos do Telegram exigem um nome de piloto. Por favor, defina seu nome de piloto."
pilot_name_required_title,مطلوب اسم الطيار,Pilotenname erforderlich,Pilot Name Required,Nombre del Piloto Requerido,Nom du Pilote Requis,Nome Pilota Richiesto,パイロット名が必要です,Pilootnaam Vereist,Wymagana nazwa pilota,Nome do Piloto Necessário
play,تشغيل الصوت,Ton abspielen,Play Sound,Reproducir Sonido,Jouer le Son,Riproduci Suono,サウンドを再生,Speel Geluid Af,Odtwórz dźwięk,Tocar Som
play_count,العدد,Anzahl,Count,Contar,Compte,Conteggio,カウント,Tellen,Liczba,Contagem
private_chat_instructions,لتمكين البوت من إرسال الرسائل إلى هذه الدردشة الخاصة:\n1. افتح تيليجرام\n2. ابحث عن البوت\n3. أرسل /start إلى البوت\n4. عد هنا وانعش,"So aktivieren Sie den Bot, um Nachrichten an diesen privaten Chat zu senden:\n1. Öffnen Sie Telegram\n2. Suchen Sie nach dem Bot\n3. Senden Sie /start an den Bot\n4. Kommen Sie zurück und aktualisieren Sie die Seite.",To enable the bot to send messages to this private chat:\n1. Open Telegram\n2. Search for the bot\n3. Send /start to the bot\n4. Come back and refresh,Para habilitar el bot para enviar mensajes a este chat privado:\n1. Abre Telegram\n2. Busca el bot\n3. Envía /start al bot\n4. Vuelve aquí y actualiza,Pour activer le bot afin qu'il envoie des messages à cette discussion privée :\n1. Ouvrez Telegram\n2. Cherchez le bot\n3. Envoyez /start au bot\n4. Revenez ici et actualisez,Per abilitare il bot a inviare messaggi a questa chat privata:\n1. Apri Telegram\n2. Cerca il bot\n3. Invia /start al bot\n4. Torna qui e aggiorna,このプライベートチャットにボットがメッセージを送信できるようにするには:\n1. Telegramを開く\n2. ボットを検索\n3. ボットに/startを送信\n4. ここに戻って更新,Om de bot in staat te stellen berichten naar deze privéchat te sturen:\n1. Open Telegram\n2. Zoek de bot\n3. Stuur /start naar de bot\n4. Kom hier terug en vernieuw,Aby umożliwić botowi wysyłanie wiadomości do tego prywatnego czatu:\n1. Otwórz Telegram\n2. Wyszukaj bota\n3. Wyślij /start do bota\n4. Wróć tutaj i odśwież,Para permitir que o bot envie mensagens para este chat privado:\n1. Abra o Telegram\n2. Pesquise pelo bot\n3. Envie /start para o bot\n4. Volte aqui e atualize
ready_to_send_position_updates,جاهز لإرسال تحديثات الموقع!,Bereit zum Senden von Positionsaktualisierungen!,Ready to send position updates!,¡Listo para enviar actualizaciones de posición!,Prêt à envoyer des mises à jour de position !,Pronto a inviare aggiornamenti di posizione!,位置情報の更新を送信する準備ができました！,Klaar om positie-updates te verzenden!,Gotowe do wysyłania aktualizacji pozycji!,Pronto para enviar atualizações de posição!
ready_to_send_updates,جاهز لإرسال التحديثات,Bereit zum Senden von Aktualisierungen,Ready to send updates,Listo para enviar actualizaciones,Prêt à envoyer des mises à jour,Pronto a inviare aggiornamenti,更新を送信する準備ができました,Klaar om updates te verzenden,Gotowe do wysyłania aktualizacji,Pronto para enviar atualizações
refresh,تحديث,Aktualisieren,Refresh,Actualizar,Actualiser,Aggiorna,更新,Vernieuwen,Odśwież,Atualizar
refresh_status,تحديث الحالة,Status aktualisieren,Refresh Status,Actualizar Estado,Actualiser le Statut,Aggiorna Stato,ステータスを更新,Vernieuw Status,Odśwież status,Atualizar Status
retry,إعادة المحاولة,Erneut versuchen,Retry,Reintentar,Réessayer,Riprova,再試行,Opnieuw proberen,Spróbuj ponownie,Tentar Novamente
return_and_refresh_instructions,بعد إضافة البوت، عد هنا وانعش للمتابعة.,"Nachdem Sie den Bot hinzugefügt haben, kehren Sie hierher zurück und aktualisieren Sie die Seite, um fortzufahren.","After adding the bot, return here and refresh to continue.","Después de añadir el bot, vuelve aquí y actualiza para continuar.","Après avoir ajouté le bot, revenez ici et actualisez pour continuer.","Dopo aver aggiunto il bot, torna qui e aggiorna per continuare.",ボットを追加した後、ここに戻って更新して続行してください。,"Nadat u de bot hebt toegevoegd, komt u hier terug en ververst u om door te gaan.","Po dodaniu bota wróć tutaj i odśwież, aby kontynuować.","Depois de adicionar o bot, volte aqui e atualize para continuar."
save_message,حفظ الرسالة,Nachricht speichern,Save Message,Guardar Mensaje,Sauvegarder le Message,Salva Messaggio,メッセージを保存,Bericht Opslaan,Zapisz wiadomość,Salvar Mensagem
searching_for_available_chats,جاري البحث عن الدردشات المتاحة...,Suche nach verfügbaren Chats...,Searching for available chats...,Buscando chats disponibles...,Recherche de discussions disponibles en cours...,Ricerca di chat disponibili in corso...,利用可能なチャットを検索しています...,Zoeken naar beschikbare chats...,Wyszukiwanie dostępnych czatów...,Procurando por chats disponíveis...
searching_for_available_groups,جاري البحث عن المجموعات المتاحة...,Suche nach verfügbaren Gruppen...,Searching for available groups...,Buscando grupos disponibles...,Recherche de groupes disponibles en cours...,Ricerca di gruppi disponibili in corso...,利用可能なグループを検索しています...,Zoeken naar beschikbare groepen...,Wyszukiwanie dostępnych grup...,Procurando por grupos disponíveis...
select_app,اختر تطبيقًا,App auswählen,Select App,Seleccionar Aplicación,Sélectionner une Application,Seleziona App,アプリを選択,Selecteer App,Wybierz aplikację,Selecionar Aplicativo
select_app_to_launch,اختر تطبيقًا لتشغيله,App zum Starten auswählen,Select App to Launch,Seleccionar Aplicación para Lanzar,Sélectionner une Application à Lancer,Seleziona App da Lanciare,起動するアプリを選択,Selecteer App om te Starten,Wybierz aplikację do uruchomienia,Selecionar Aplicativo para Lançar
select_category,اختر فئة,Kategorie auswählen,Select Category,Seleccionar Categoría,Sélectionner une Catégorie,Seleziona Categoria,カテゴリを選択,Selecteer Categorie,Wybierz kategorię,Selecionar Categoria
select_chat,اختر دردشة,Chat auswählen,Select Chat,Seleccionar Chat,Sélectionner une Discussion,Seleziona Chat,チャットを選択,Selecteer Chat,Wybierz czat,Selecionar Chat
select_chat_hint,الرجاء اختيار دردشة لتكوين المكان الذي سيتم إرسال تحديثات الموقع إليه.,"Wählen Sie einen Chat aus, um festzulegen, wohin Positionsaktualisierungen gesendet werden sollen.",Please select a chat to configure where position updates will be sent.,"Por favor, selecciona un chat para configurar dónde se enviarán las actualizaciones de posición.",Veuillez sélectionner une discussion à configurer où les mises à jour de position seront envoyées.,Per favore seleziona una chat da configurare dove inviare gli aggiornamenti di posizione.,位置情報の更新を送信するチャットを設定するためにチャットを選択してください。,Selecteer een chat om te configureren waar positie-updates naartoe gestuurd worden.,"Proszę wybrać czat, aby skonfigurować, gdzie będą wysyłane aktualizacje pozycji.","Por favor, selecione um chat para configurar onde as atualizações de posição serão enviadas."
select_chat_message_prompt,اختر الدردشة التي تريد إرسال الرسالة إليها واختر رسالة لإرسالها.,"Wählen Sie den Chat aus, an den die Nachricht gesendet werden soll, und wählen Sie eine Nachricht aus.",Select the chat where you want to send the message and choose a message to send.,Selecciona el chat donde quieres enviar el mensaje y elige un mensaje para enviar.,Sélectionnez la discussion où vous souhaitez envoyer le message et choisissez un message à envoyer.,Seleziona la chat dove vuoi inviare il messaggio e scegli un messaggio da inviare.,メッセージを送信したいチャットを選択し、送信するメッセージを選択してください。,Selecteer de chat waar u het bericht naartoe wilt sturen en kies een bericht om te verzenden.,"Wybierz czat, do którego chcesz wysłać wiadomość i wybierz wiadomość do wysłania.",Selecione o chat onde você deseja enviar a mensagem e escolha uma mensagem para enviar.
select_chat_option,اختر دردشة,Chat auswählen,Select a chat,Selecciona un chat,Sélectionnez une discussion,Seleziona una chat,チャットを選択,Selecteer een chat,Wybierz czat,Selecionar um chat
select_chat_to_add_bot,اختر دردشة لإضافة البوت,"Chat auswählen, um den Bot hinzuzufügen",Select a chat to add the bot,Selecciona un chat para añadir el bot,Sélectionnez une discussion à laquelle ajouter le bot,Seleziona una chat a cui aggiungere il bot,ボットを追加するチャットを選択,Selecteer een chat om de bot toe te voegen,"Wybierz czat, aby dodać bota",Selecionar um chat para adicionar o bot
select_event,اختر حدثًا,Ereignis auswählen,Select Event,Seleccionar Evento,Sélectionner un Événement,Seleziona Evento,イベントを選択,Selecteer Evenement,Wybierz wydarzenie,Selecionar Evento
select_existing_group_description,اختر مجموعة حيث يكون البوت نشطًا بالفعل,"Gruppe auswählen, in der der Bot bereits aktiv ist",Select a group where the bot is already active,Selecciona un grupo donde el bot ya esté activo,Sélectionnez un groupe où le bot est déjà actif,Seleziona un gruppo dove il bot è già attivo,ボットが既にアクティブなグループを選択,Selecteer een groep waar de bot al actief is,"Wybierz grupę, w której bot jest już aktywny",Selecionar um grupo onde o bot já está ativo
select_group,اختر مجموعة,Gruppe auswählen,Select Group,Seleccionar Grupo,Sélectionner un Groupe,Seleziona Gruppo,グループを選択,Selecteer Groep,Wybierz grupę,Selecionar Grupo
select_group_button,اختر,Auswählen,Select,Seleccionar,Sélectionnez,Seleziona,選択,Selecteer,Wybierz,Selecionar
select_group_message_prompt,اختر المجموعة التي تريد إرسال الرسالة إليها,"Gruppe auswählen, an die die Nachricht gesendet werden soll",Select the group where you want to send the message,Selecciona el grupo donde quieres enviar el mensaje,Sélectionnez le groupe dans lequel vous souhaitez envoyer le message,Seleziona la chat dove vuoi inviare il messaggio,メッセージを送信したいグループを選択,Selecteer de groep waar u het bericht naartoe wilt sturen,"Wybierz grupę, do której chcesz wysłać wiadomość",Selecionar o grupo onde você deseja enviar a mensagem
select_group_option,اختر مجموعة,Gruppe auswählen,Select Group,Seleccionar Grupo,Sélectionnez le groupe,Seleziona Gruppo,グループを選択,Selecteer Groep,Wybierz grupę,Selecionar Grupo
select_group_option_prompt,اختر كيف تريد تكوين مجموعة تيليجرام الخاصة بك:,"Wählen Sie, wie Sie Ihre Telegram-Gruppe konfigurieren möchten:",Choose how you want to configure your Telegram group:,Elige cómo quieres configurar tu grupo de Telegram:,Choisissez comment vous voulez configurer votre groupe Telegram :,Scegli come vuoi configurare il tuo gruppo Telegram:,Telegramグループを設定する方法を選択してください:,Kies hoe u uw Telegram-groep wilt configureren:,"Wybierz, jak chcesz skonfigurować swoją grupę Telegram:",Escolha como deseja configurar seu grupo do Telegram:
select_group_to_add_bot,اختر المجموعة التي تريد إضافة البوت إليها.,"Gruppe auswählen, zu der Sie den Bot hinzufügen möchten.",Select the Group to which you want to add the bot to.,Selecciona el Grupo al que quieres añadir el bot.,Sélectionnez le Groupe auquel vous voulez ajouter le bot.,Seleziona il Gruppo a cui vuoi aggiungere il bot.,ボットを追加したいグループを選択してください。,Selecteer de Groep waaraan u de bot wilt toevoegen.,"Wybierz grupę, do której chcesz dodać bota.",Selecionar o Grupo ao qual você deseja adicionar o bot.
select_group_with_bot,اختر مجموعة مع البوت,Gruppe mit Bot auswählen,Select Group with Bot,Seleccionar Grupo con Bot,Sélectionner un Groupe avec le Bot,Seleziona Gruppo con Bot,ボット付きグループを選択,Selecteer Groep met Bot,Wybierz grupę z botem,Selecionar Grupo com Bot
select_message_prompt,اختر رسالة محفوظة مسبقًا أو أدخل رسالة جديدة,Eine zuvor gespeicherte Nachricht auswählen oder eine neue eingeben,Select a previously saved message or enter a new one,Selecciona un mensaje previamente guardado o introduce uno nuevo,Sélectionnez un message précédemment sauvegardé ou entrez-en un nouveau,Seleziona un messaggio precedentemente salvato o inseriscine uno nuovo,以前に保存されたメッセージを選択するか、新しいメッセージを入力してください,Selecteer een eerder opgeslagen bericht of voer een nieuwe in,Wybierz wcześniej zapisana wiadomość lub wprowadź nową,Selecionar uma mensagem previamente salva ou inserir uma nova
select_sound,اختر صوتًا,Ton auswählen,Select Sound,Seleccionar Sonido,Sélectionner un Son,Seleziona Suono,サウンドを選択,Selecteer Geluid,Wybierz dźwięk,Selecionar Som
select_task,اختر مهمة,Aufgabe auswählen,Select Task,Seleccionar Tarea,Sélectionner une Tâche,Seleziona Compito,タスクを選択,Selecteer Taak,Wybierz zadanie,Selecionar Tarefa
select_task_type,اختر نوع المهمة,Aufgabentyp auswählen,Select Task Type,Seleccionar Tipo de Tarea,Sélectionner un Type de Tâche,Seleziona Tipo di Compito,タスクタイプを選択,Selecteer Taaktype,Wybierz typ zadania,Selecionar Tipo de Tarefa
select_telegram_chat,اختر دردشة تيليجرام,Telegram-Chat auswählen,Select Telegram Chat,Seleccionar Chat de Telegram,Sélectionner une Discussion Telegram,Seleziona Chat Telegram,Telegramチャットを選択,Selecteer Telegram Chat,Wybierz czat Telegram,Selecionar Chat do Telegram
select_telegram_group,اختر مجموعة تيليجرام,Telegram-Gruppe auswählen,Select a Telegram group,Seleccionar un grupo de Telegram,Sélectionnez un groupe Telegram,Seleziona un gruppo Telegram,Telegramグループを選択,Selecteer een Telegram-groep,Wybierz grupę Telegram,Selecionar um grupo do Telegram
select_the_chat_where_you_want_to_send_position_updates,اختر الدردشة التي تريد إرسال تحديثات الموقع إليها.,"Wählen Sie den Chat aus, an den Positionsaktualisierungen gesendet werden sollen.",Select the chat where you want to send position updates.,Selecciona el chat donde quieres enviar actualizaciones de posición.,Sélectionnez la discussion où vous souhaitez envoyer les mises à jour de position.,Seleziona la chat dove vuoi inviare gli aggiornamenti di posizione.,位置情報の更新を送信したいチャットを選択してください。,Selecteer de chat waar u positie-updates naartoe wilt sturen.,"Wybierz czat, do którego chcesz wysyłać aktualizacje pozycji.",Selecionar o chat onde você deseja enviar atualizações de posição.
select_the_group_where_you_want_to_send_position_updates,اختر المجموعة التي تريد إرسال تحديثات الموقع إليها:,"Wählen Sie die Gruppe aus, an die Sie Positionsaktualisierungen senden möchten:",Select the group where you want to send position updates:,Selecciona el grupo donde quieres enviar actualizaciones de posición:,Sélectionnez le groupe où vous souhaitez envoyer les mises à jour de position :,Seleziona il gruppo dove vuoi inviare gli aggiornamenti di posizione:,位置情報の更新を送信したいグループを選択してください:,Selecteer de groep waar u positie-updates naartoe wilt sturen:,"Wybierz grupę, do której chcesz wysyłać aktualizacje pozycji:",Selecionar o grupo onde você deseja enviar atualizações de posição:
select_volume,اختر مستوى الصوت,Lautstärke auswählen,Select Volume,Seleccionar Volumen,Sélectionner un Volume,Seleziona Volume,ボリュームを選択,Selecteer Volume,Wybierz głośność,Selecionar Volume
select_your_group_message,الرجاء اختيار المجموعة التي تريد إرسال التحديثات إليها:,"Bitte wählen Sie die Gruppe aus, an die Sie Aktualisierungen senden möchten:",Please select the group where you want to send updates:,"Por favor, selecciona el grupo donde quieres enviar actualizaciones:",Veuillez sélectionner le groupe où vous souhaitez envoyer les mises à jour :,Per favore seleziona il gruppo dove vuoi inviare gli aggiornamenti:,更新を送信したいグループを選択してください:,Selecteer de groep waar u updates naartoe wilt sturen:,"Proszę wybrać grupę, do której chcesz wysyłać aktualizacje:","Por favor, selecione o grupo onde você deseja enviar atualizações:"
select_your_group_title,اختر مجموعتك,Wählen Sie Ihre Gruppe aus,Select your group,Selecciona tu grupo,Sélectionnez votre groupe,Seleziona il tuo gruppo,あなたのグループを選択,Selecteer uw groep,Wybierz swoją grupę,Selecionar seu grupo
selected_app,المحدد: %s,Ausgewählt: %s,Selected: %s,Seleccionado: %s,Sélectionné : %s,Selezionato: %s,選択済み: %s,Geselecteerd: %s,Wybrano: %s,Selecionado: %s
selected_chat,الدردشة المختارة,Ausgewählter Chat,Selected Chat,Chat Seleccionado,Discussion Sélectionnée,Chat Selezionata,選択されたチャット,Geselecteerde Chat,Wybrany czat,Chat Selecionado
selected_group,المجموعة المختارة,Ausgewählte Gruppe,Selected Group,Grupo Seleccionado,Groupe Sélectionné,Gruppo Selezionato,選択されたグループ,Geselecteerde Groep,Wybrana grupa,Grupo Selecionado
selected_message,الرسالة المختارة,Ausgewählte Nachricht,Selected Message,Mensaje Seleccionado,Message Sélectionné,Messaggio Selezionato,選択されたメッセージ,Geselecteerd Bericht,Wybrana wiadomość,Mensagem Selecionada
send_position_to_telegram,إرسال الموقع إلى تيليجرام,Position an Telegram senden,Send Position to Telegram,Enviar Posición a Telegram,Envoyer la Position à Telegram,Invia Posizione a Telegram,Telegramに位置情報を送信,Verstuur Positie naar Telegram,Wyślij pozycję do Telegram,Enviar Posição para o Telegram
send_start_in_the_chat,إرسال /start في الدردشة,Im Chat senden/starten,Send /start in the chat,Enviar /start en el chat,Envoyer /start dans la discussion,Invia /start nella chat,チャットで/startを送信,Stuur /start in de chat,Wyślij /start w czacie,Enviar /start no chat
send_start_in_the_group,3. إرسال /start في المجموعة,3. In der Gruppe senden/starten,3. Send /start in the group,3. Enviar /start en el grupo,3. Envoyer /start dans le groupe,3. Invia /start nel gruppo,3. グループで/startを送信,3. Stuur /start in de groep,3. Wyślij /start w grupie,3. Enviar /start no grupo
share_bot_link,مشاركة رابط البوت,Bot-Link teilen,Share Bot Link,Compartir Enlace del Bot,Partager le Lien du Bot,Condividi Link del Bot,ボットリンクを共有,Deel Botlink,Udostępnij link do bota,Compartilhar Link do Bot
share_bot_message,مشاركة البوت,Bot teilen,Share Bot,Compartir Bot,Partager le Bot,Condividi Bot,ボットを共有,Deel Bot,Udostępnij bota,Compartilhar Bot
share_bot_message_template,"مرحبًا! الرجاء النقر على هذا الرابط لبدء الدردشة مع بوت الموقع الخاص بي، ثم النقر على زر ""البدء"": %1$s","Hallo! Klicken Sie auf diesen Link, um mit meinem Standort-Bot zu chatten, und anschließend auf „Starten“: %1$s","Hi! Please click this link to start chatting with my location bot, then click the ""Start"" button: %1$s","¡Hola! Por favor, haz clic en este enlace para comenzar a chatear con mi bot de ubicación, luego haz clic en el botón ""Start"": %1$s","Bonjour ! Veuillez cliquer sur ce lien pour commencer à discuter avec mon bot de localisation, puis cliquez sur le bouton ""Start"" : %1$s","Ciao! Per favore clicca su questo link per iniziare a chattare con il mio bot di localizzazione, poi clicca sul pulsante ""Start"": %1$s",こんにちは！私の位置情報ボットとチャットを開始するためにこのリンクをクリックし、「開始」ボタンをクリックしてください: %1$s,"Hallo! Klik op deze link om te beginnen met chatten met mijn locatiebot, klik dan op de ""Start""-knop: %1$s","Cześć! Kliknij w ten link, aby rozpocząć czat z moim botem lokalizacyjnym, a następnie kliknij przycisk „Start”: %1$s","Olá! Por favor, clique neste link para começar a conversar com meu bot de localização, depois clique no botão ""Iniciar"": %1$s"
share_bot_with_contact,مشاركة رابط البوت مع جهة الاتصال,Bot-Link mit Kontakt teilen,Share bot link with contact,Compartir enlace del bot con un contacto,Partager le lien du bot avec un contact,Condividi il link del bot con un contatto,連絡先とボットリンクを共有,Deel botlink met contact,Udostępnij link do bota z kontaktem,Compartilhar link do bot com contato
sound_files_copy_failed,فشل في نسخ ملفات الصوت. بعض الميزات قد لا تعمل.,Sounddateien konnten nicht kopiert werden. Einige Funktionen funktionieren möglicherweise nicht.,Failed to copy sound files. Some features may not work.,Error al copiar archivos de sonido. Algunas características pueden no funcionar.,Impossible de copier les fichiers audio. Certaines fonctionnalités peuvent ne pas fonctionner.,Impossibile copiare i file audio. Alcune funzionalità potrebbero non funzionare.,サウンドファイルのコピーに失敗しました。一部の機能が動作しない可能性があります。,Kan geluidsbestanden niet kopiëren. Sommige functies werken mogelijk niet.,Nie udało się skopiować plików dźwiękowych. Niektóre funkcje mogą nie działać.,Falha ao copiar arquivos de som. Algumas funcionalidades podem não funcionar.
sound_files_error,خطأ في نسخ ملفات الصوت.,Fehler beim Kopieren der Sounddateien.,Error copying sound files.,Error al copiar archivos de sonido.,Erreur lors de la copie des fichiers audio.,Errore nella copia dei file audio.,サウンドファイルのコピーエラー。,Fout bij het kopiëren van geluidsbestanden.,Błąd kopiowania plików dźwiękowych.,Erro ao copiar arquivos de som.
sound_files_not_found,لم يتم العثور على ملفات الصوت. بعض الميزات قد لا تعمل.,Keine Sounddateien gefunden. Einige Funktionen funktionieren möglicherweise nicht.,No sound files found. Some features may not work.,No se encontraron archivos de sonido. Algunas características pueden no funcionar.,Aucun fichier audio trouvé. Certaines fonctionnalités peuvent ne pas fonctionner.,Nessun file audio trovato. Alcune funzionalità potrebbero non funzionare.,サウンドファイルが見つかりません。一部の機能が動作しない可能性があります。,Geen geluidsbestanden gevonden. Sommige functies werken mogelijk niet.,Nie znaleziono plików dźwiękowych. Niektóre funkcje mogą nie działać.,Nenhum arquivo de som encontrado. Algumas funcionalidades podem não funcionar.
start_command_required,الرجاء إرسال /start في دردشة البوت لإكمال المصادقة.,"Bitte senden Sie /start im Bot-Chat, um die Authentifizierung abzuschließen.",Please send /start in the bot chat to complete authentication.,"Por favor, envía /start en el chat del bot para completar la autenticación.",Veuillez envoyer /start dans la discussion du bot pour compléter l'authentification.,Per favore invia /start nella chat del bot per completare l'autenticazione.,認証を完了するためにボットチャットで/startを送信してください。,Stuur /start in de botchat om de authenticatie te voltooien.,"Proszę wysłać /start w czacie bota, aby ukończyć uwierzytelnienie.","Por favor, envie /start no chat do bot para completar a autenticação."
start_conversation_with_bot,بدء محادثة مع البوت,Konversation mit Bot starten,Start conversation with bot,Iniciar conversación con el bot,Démarrer une conversation avec le bot,Avvia conversazione con il bot,ボットとの会話を開始,Start gesprek met bot,Rozpocznij rozmowę z botem,Iniciar conversa com o bot
stop,إيقاف الصوت,Sound stoppen,Stop Sound,Detener Sonido,Arrêter le Son,Ferma Suono,サウンドを停止,Stop Geluid,Zatrzymaj dźwięk,Parar Som
storage_permission_required,مطلوب إذن التخزين لنسخ ملفات الصوت.,Zum Kopieren der Sounddateien ist eine Speicherberechtigung erforderlich.,Storage permission is required to copy sound files.,Se requiere permiso de almacenamiento para copiar archivos de sonido.,La permission de stockage est requise pour copier les fichiers audio.,Il permesso di archiviazione è richiesto per copiare i file audio.,サウンドファイルをコピーするにはストレージの許可が必要です。,Opslagmachtiging is vereist om geluidsbestanden te kopiëren.,"Wymagane jest zezwolenie na pamięć, aby kopiować pliki dźwiękowe.",Permissão de armazenamento é necessária para copiar arquivos de som.
task_launch_app,تشغيل: %1$s (%2$s),Start: %1$s (%2$s),Launch: %1$s (%2$s),Lanzar: %1$s (%2$s),Lancer : %1$s (%2$s),Lancia: %1$s (%2$s),%1$sを起動（%2$s）,Start: %1$s (%2$s),Uruchom: %1$s (%2$s),Lançar: %1$s (%2$s)
task_launch_app_item,تشغيل: %1$s (%2$s),Start: %1$s (%2$s),Launch: %1$s (%2$s),Lanzar: %1$s (%2$s),Lancer : %1$s (%2$s),Lancia: %1$s (%2$s),%1$sを起動（%2$s）,Start: %1$s (%2$s),Uruchom: %1$s (%2$s),Lançar: %1$s (%2$s)
task_other,آخر,Sonstige,Other,Otro,Autre,Altro,その他,Anders,Inne,Outro
task_send_message_to_telegram,إرسال رسالة إلى تيليجرام,Nachricht an Telegram senden,Send message to Telegram,Enviar mensaje a Telegram,Envoyer un message à Telegram,Invia messaggio a Telegram,Telegramにメッセージを送信,Stuur bericht naar Telegram,Wyślij wiadomość do Telegram,Enviar mensagem para o Telegram
task_send_telegram_message,إرسال رسالة تيليجرام: %1$s,Telegram-Nachricht senden: %1$s,Send Telegram Message: %1$s,Enviar Mensaje de Telegram: %1$s,Envoyer un Message Telegram : %1$s,Invia Messaggio Telegram: %1$s,Telegramメッセージを送信: %1$s,Stuur Telegram-bericht: %1$s,Wyślij wiadomość Telegram: %1$s,Enviar Mensagem do Telegram: %1$s
task_send_telegram_position,إرسال موقع تيليجرام: %1$s,Telegram-Position senden: %1$s,Send Telegram Position: %1$s,Enviar Posición de Telegram: %1$s,Envoyer la Position Telegram : %1$s,Invia Posizione Telegram: %1$s,Telegramの位置情報を送信: %1$s,Stuur Telegram-positie: %1$s,Wyślij pozycję Telegram: %1$s,Enviar Posição do Telegram: %1$s
task_send_telegram_position_item,إرسال موقع تيليجرام,Telegram-Position senden,Send Telegram Position,Enviar Posición de Telegram,Envoyer la Position Telegram,Invia Posizione Telegram,Telegramの位置情報を送信,Stuur Telegram-positie,Wyślij pozycję Telegram,Enviar Posição do Telegram
task_sound,الصوت,Sound,Sound,Sonido,Son,Suono,サウンド,Geluid,Dźwięk,Som
task_zello_ptt,Zello PTT,Zello PTT,Zello PTT,Zello PTT,Zello PTT,Zello PTT,Zello PTT,Zello PTT,Zello PTT,Zello PTT
telegram_admin_status,المدير,Administrator,administrator,administrador,administrateur,amministratore,管理者,beheerder,administrator,administrador
telegram_api_base_url,https://api.telegram.org/bot,https://api.telegram.org/bot,https://api.telegram.org/bot,https://api.telegram.org/bot,https://api.telegram.org/bot,https://api.telegram.org/bot,https://api.telegram.org/bot,https://api.telegram.org/bot,https://api.telegram.org/bot,https://api.telegram.org/bot
telegram_authenticated_with_id,%s - تيليجرام مصدّق,%s - Telegram authentifiziert,%s - Telegram authenticated,%s - Telegram autenticado,%s - Telegram authentifié,%s - Telegram autenticato,%s - Telegramで認証済み,%s - Telegram geverifieerd,%s - Telegram uwierzytelniony,%s - Telegram autenticado
telegram_authentication,مصادقة تيليجرام,Telegram-Authentifizierung,Telegram Authentication,Autenticación de Telegram,Authentification Telegram,Autenticazione Telegram,Telegram認証,Telegram-verificatie,Uwierzytelnienie Telegram,Autenticação do Telegram
telegram_authentication_required_message,لاستخدام مهام تيليجرام، يجب أن تكون مصدقًا أولًا. يرجى المصادقة أولًا.,"Um Telegram-Aufgaben nutzen zu können, müssen Sie sich zunächst authentifizieren. Bitte authentifizieren Sie sich zuerst.","To use Telegram tasks, you first need to be authenticated. Please authenticate first.","Para usar las tareas de Telegram, primero necesitas estar autenticado. Por favor, autentícate primero.","Pour utiliser les tâches Telegram, vous devez d'abord être authentifié. Veuillez vous authentifier d'abord.","Per utilizzare i compiti di Telegram, devi prima essere autenticato. Per favore autenticati prima.",Telegramタスクを使用するには、まず認証が必要です。最初に認証してください。,"Om Telegram-taken te gebruiken, moet u eerst geverifieerd zijn. Verifieer eerst.","Aby używać zadań Telegram, najpierw musisz być uwierzytelniony. Proszę najpierw się uwierzytelnić.","Para usar tarefas do Telegram, você primeiro precisa estar autenticado. Por favor, autentique-se primeiro."
telegram_authentication_required_title,مطلوب المصادقة,Authentifizierung erforderlich,Authentication Required,Autenticación Requerida,Authentification Requise,Autenticazione Richiesta,認証が必要です,Verificatie Vereist,Wymagane uwierzytelnienie,Autenticação Necessária
telegram_bot_share_subject,رابط بوت الموقع,Standort: Bot-Link,Location Bot Link,Enlace del Bot de Ubicación,Lien du Bot de Localisation,Link Bot Posizione,位置情報ボットリンク,Locatie Bot Link,Link do bota lokalizacji,Link do Bot de Localização
telegram_chat_label,دردشة تيليجرام,Telegram-Chat,Telegram Chat,Chat de Telegram,Discussion Telegram,Chat Telegram,Telegramチャット,Telegram Chat,Czat Telegram,Chat do Telegram
telegram_content_type,application/json; charset=utf-8,application/json; charset=utf-8,application/json; charset=utf-8,application/json; charset=utf-8,application/json; charset=utf-8,application/json; charset=utf-8,application/json; charset=utf-8,application/json; charset=utf-8,application/json; charset=utf-8,application/json; charset=utf-8
telegram_creator_status,المؤسس,creator,creator,creador,créateur,creatore,作成者,maker,twórca,criador
